NOME FANTASIA;CNES;CNPJ;UF;MUNICIPIO;DATA DE ATUALIZAÇÃO
LABORATORIO THONSON;2360152;32403297000122;ES;ARACRUZ;30/08/2018
LABORATORIO THONSON ANALISES CLINICAS;7442351;32403297000556;ES;IBIRACU;30/08/2018
LABORATORIO THONSON FILIAL 02;7241054;32403297000475;ES;SERRA;30/08/2018
LABORATORIO TIEZZI;2057034;57326845000199;SP;PRESIDENTE PRUDENTE;30/08/2018
LABORATORIO TIEZZI PIRAPOZINHO;3159329;02122868000190;SP;PIRAPOZINHO;30/08/2018
LABORATORIO TINOCO;3180360;33610122000159;RJ;RIO DE JANEIRO;30/08/2018
LABORATORIO TINOCO;2292629;29229291000176;RJ;TRES RIOS;30/08/2018
LABORATORIO TOMMASI;9,80E+14;28133312000192;ES;VITORIA;30/08/2018
LABORATORIO TOMMASI;2709228;28133312000192;ES;VITORIA;30/08/2018
LABORATORIO TOMMASI;2,02E+14;28133312000192;ES;VITORIA;30/08/2018
LABORATORIO TORRES;3371867;65320491000101;MG;JANAUBA;30/08/2018
LABORATORIO TORRES LTDA;5916747;89135172000186;RS;TORRES;30/08/2018
LABORATORIO TOXILAB;3345122;73255390000114;RS;PORTO ALEGRE;30/08/2018
LABORATORIO TRIAGEM;6019730;03788038000169;MG;TIMOTEO;30/08/2018
LABORATORIO TRIANON;2058103;01661761000157;SP;DRACENA;30/08/2018
LABORATORIO TRIATOX;2058960;44424620000123;SP;ARACATUBA;30/08/2018
LABORATORIO TRINDADE;3509176;79525507000119;SC;FLORIANOPOLIS;30/08/2018
LABORATORIO TRINDADE;6655327;12118805000113;SC;IMBITUBA;30/08/2018
LABORATORIO TRINDADE;3725693;07703881000156;SC;PONTE SERRADA;30/08/2018
LABORATORIO UNIAO;6497667;03904506000113;MG;ESPINOSA;30/08/2018
LABORATORIO UNIDADE MEDICA;2026139;50456664000138;SP;JACAREI;30/08/2018
LABORATORIO UNIDOS;3206505;82512559000165;SC;FLORIANOPOLIS;30/08/2018
LABORATORIO UNIDOS LTDA;2232480;87487633000154;RS;SAO LOURENCO DO SUL;30/08/2018
LABORATORIO UNILAB;3097870;03258848000103;RS;BENTO GONCALVES;30/08/2018
LABORATORIO UNILAB SARANDI;2234513;02408795000105;RS;SARANDI;30/08/2018
LABORATORIO UNIMED;2537397;85283299000353;SC;CHAPECO;30/08/2018
LABORATORIO UNIMED ERECHIM;2249154;87638334000416;RS;ERECHIM;30/08/2018
LABORATORIO UNIMED MORRINHOS;9063773;02192677000285;GO;MORRINHOS;30/08/2018
LABORATORIO UNIMED OESTE DO PARANA;2587688;78420783000230;PR;MEDIANEIRA;30/08/2018
LABORATORIO UNIMED TRES LAGOAS;6786693;03980208000536;MS;TRES LAGOAS;30/08/2018
LABORATORIO UNISUL;2491656;86445293001370;SC;TUBARAO;30/08/2018
LABORATORIO UNIVERSAL;2328917;10247732000134;PA;CONCEICAO DO ARAGUAIA;30/08/2018
LABORATORIO UNIVERSAL;7002394;25212697000195;MG;MATO VERDE;30/08/2018
LABORATORIO VESALIUS;6354955;10846439000193;DF;BRASILIA;30/08/2018
LABORATORIO VIDA;7951930;24320787000137;ES;MARATAIZES;30/08/2018
LABORATORIO VIRCHOW;323719;04872944000100;DF;BRASILIA;30/08/2018
LABORATORIO VISTALAB;7482205;16540896000131;BA;NOVA VICOSA;30/08/2018
LABORATORIO VITA CELL;3809935;07648352000105;MG;CURVELO;30/08/2018
LABORATORIO VITACENTER;2181045;01356860000125;MG;IBIA;30/08/2018
LABORATORIO VITACLIN LTDA;2240025;92861780000182;RS;FLORES DA CUNHA;30/08/2018
LABORATORIO VITAE;255095;01540182000156;SC;JAGUARUNA;30/08/2018
LABORATORIO VITAL;5261279;07959999000140;SC;SANTO AMARO DA IMPERATRIZ;30/08/2018
LABORATORIO VITAL;3977064;93539468000130;RS;NONOAI;30/08/2018
LABORATORIO VITAL BRASIL;6131379;33200619000107;TO;PARAISO DO TOCANTINS;30/08/2018
LABORATORIO VITALAB;2047365;01433353000148;SP;ITATIBA;30/08/2018
LABORATORIO VITALE;6292437;10850338000196;RS;TRAMANDAI;30/08/2018
LABORATORIO VITOR NOGUEIRA;7173369;16858006000134;AP;LARANJAL DO JARI;30/08/2018
LABORATORIO VITORIA;6505015;11859656000180;MT;SORRISO;30/08/2018
LABORATORIO VOLPI BIANCARDI;6906397;14257642000185;PR;CONTENDA;30/08/2018
LABORATORIO VOUMARD;2219565;21353602000100;MG;MONTES CLAROS;30/08/2018
LABORATORIO VOZZA;2037432;46044947000103;SP;CAMPINAS;30/08/2018
LABORATORIO WESTRUPP;2778904;78325693000180;SC;ARMAZEM;30/08/2018
LABORATORIO WILDE;3171027;00816115000159;RS;RIO GRANDE;30/08/2018
LABORATORIO WINTROBE;3476901;07488463000193;CE;MORADA NOVA;30/08/2018
LABORATORIO XIMENES;2782367;75627331000155;PR;SANTO ANTONIO DA PLATINA;30/08/2018
LABORATORIO ZANOL LTDA;7467311;02683955000116;RS;PORTO ALEGRE;30/08/2018
LABORATORIOS LABOPAC;3041905;12659397000107;PE;PESQUEIRA;30/08/2018
LABORATORIOS PROGENETICA DIAGNOSTICOS;5185009;02606060000188;RJ;RIO DE JANEIRO;30/08/2018
LABORATORIOS RAYMUNDA MARANHAO SC LTDA;5225019;70239330000110;PE;RECIFE;30/08/2018
LABORATORIOS REUNIDOS;2018918;04528386000160;AM;MANAUS;30/08/2018
LABORATORIOS REUNIDOS;6038662;02323698000101;RS;SANTA MARIA;30/08/2018
LABORATORIOS UNIDOS;2231301;88326145000128;RS;CANOAS;30/08/2018
