"ORIGEM";"NOME FANTASIA";"CNES";"CNPJ";"UF";"MUNICIPIO";"DATA DE ATUALIZACAO";"OBSERVACAO"
"HOSPITAIS";"HOSPITAL SANTO ANTONIO";"=""2178559""";"=""19989904000110""";"MG";"CURVELO";"";""
"HOSPITAIS";"HOSPITAL SAO BERNARDO";"=""2538342""";"=""83506030000797""";"SC";"QUILOMBO";"";""
"HOSPITAIS";"HOSPITAL SAO CAMILO";"=""6249604""";"=""83506030001254""";"SC";"IPUMIRIM";"";""
"HOSPITAIS";"HOSPITAL SAO CAMILO";"=""6249604""";"=""83506030000100""";"SC";"IPUMIRIM";"";""
"HOSPITAIS";"HOSPITAL SAO CARLOS";"=""2240335""";"=""89847370000172""";"RS";"FARROUPILHA";"";""
"HOSPITAIS";"HOSPITAL SAO CARLOS";"=""3189546""";"=""11794674000121""";"CE";"FORTALEZA";"";""
"HOSPITAIS";"HOSPITAL SAO COTTOLENGO";"=""2535939""";"=""00420371000122""";"GO";"TRINDADE";"";""
"HOSPITAIS";"HOSPITAL SAO FRANCISCO";"=""2303892""";"=""83506030000282""";"SC";"CONCORDIA";"";""
"HOSPITAIS";"HOSPITAL SAO FRANCISCO";"=""2729539""";"=""07142188000151""";"PR";"CAMBE";"";""
"HOSPITAIS";"HOSPITAL SAO FRANCISCO";"=""2339218""";"=""01625151000106""";"GO";"GOIANIA";"";""
"HOSPITAIS";"HOSPITAL SAO FRANCISCO";"=""2515601""";"=""05661954000169""";"RO";"ARIQUEMES";"";""
"HOSPITAIS";"HOSPITAL SAO FRANCISCO";"=""2303892""";"=""83506030000100""";"SC";"CONCORDIA";"";""
"HOSPITAIS";"HOSPITAL SAO FRANCISCO NA PROVIDENCIA DE DEUS";"=""7453434""";"=""53221255004995""";"RJ";"RIO DE JANEIRO";"";""
"HOSPITAIS";"HOSPITAL SAO FRANCISCO RIBEIRAO PRETO";"=""2079275""";"=""01613433006892""";"SP";"RIBEIRAO PRETO";"";""
"HOSPITAIS";"HOSPITAL SAO FRANCISCO SC LTDA";"=""3101126""";"=""65705444000178""";"SP";"COTIA";"";""
"HOSPITAIS";"HOSPITAL SAO FRANCISCO TUPA";"=""2080672""";"=""54722822000105""";"SP";"TUPA";"";""
"HOSPITAIS";"HOSPITAL SAO JANUARIO";"=""2764865""";"=""71033278000103""";"MG";"UBA";"";""
"HOSPITAIS";"HOSPITAL SAO JOAO BATISTA";"=""2241161""";"=""91616805000110""";"RS";"NOVA PRATA";"";""
"HOSPITAIS";"HOSPITAL SAO JOAO BATISTA";"=""2760843""";"=""26001230000169""";"MG";"VISCONDE DO RIO BRANCO";"";""
"HOSPITAIS";"HOSPITAL SAO JOAO BATISTA DE MACAE";"=""2697041""";"=""29696069000183""";"RJ";"MACAE";"";""
"HOSPITAIS";"HOSPITAL SAO JOAO BATISTA HSJB";"=""8364755""";"=""83647552000113""";"SC";"CRICIUMA";"";""
"HOSPITAIS";"HOSPITAL SAO JOAO BATISTA HSJB";"=""2540355""";"=""83647552000113""";"SC";"CRICIUMA";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE";"=""2758164""";"=""92736040000114""";"SC";"CRICIUMA";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE";"=""2154749""";"=""19417823000145""";"MG";"CONTAGEM";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE";"=""2241071""";"=""87277000000111""";"RS";"ANTONIO PRADO";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE";"=""3517918""";"=""60190550000142""";"SP";"SAO JOSE DOS CAMPOS";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE";"=""0002275""";"=""13016621000105""";"SE";"ARACAJU";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE";"=""2292386""";"=""60922168001077""";"RJ";"TERESOPOLIS";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE";"=""2306336""";"=""12846027000189""";"SC";"JARAGUA DO SUL";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE";"=""2758164""";"=""92736040000890""";"SC";"CRICIUMA";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE ARIQUEMES";"=""2515628""";"=""04906749000153""";"RO";"ARIQUEMES";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE DE MARAVILHA";"=""2538180""";"=""85197077000156""";"SC";"MARAVILHA";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE DO AVAI";"=""2278855""";"=""29640612000120""";"RJ";"ITAPERUNA";"";""
"HOSPITAIS";"HOSPITAL SAO JOSE E MATERNIDADE CHIQUINHA GALLOTTI";"=""2626659""";"=""60922168005145""";"SC";"TIJUCAS";"";""
"HOSPITAIS";"HOSPITAL SAO LUCAS";"=""0015962""";"=""76502897000113""";"PR";"CURITIBA";"";""
"HOSPITAIS";"HOSPITAL SAO LUCAS";"=""7166966""";"=""17209891000193""";"MG";"BELO HORIZONTE";"";""
"HOSPITAIS";"HOSPITAL SAO LUCAS";"=""7166966""";"=""17209891000274""";"MG";"BELO HORIZONTE";"";""
"HOSPITAIS";"HOSPITAL SAO LUCAS DE SANTOS";"=""2078740""";"=""58213380000122""";"SP";"SANTOS";"";""
"HOSPITAIS";"HOSPITAL SAO LUCAS RIBEIRANIA";"=""5171946""";"=""06260857000127""";"SP";"RIBEIRAO PRETO";"";""
"HOSPITAIS";"HOSPITAL SAO LUIZ";"=""3405702""";"=""27569847000148""";"ES";"VILA VELHA";"";""
"HOSPITAIS";"HOSPITAL SAO MARCOS DE UBERABA LTDA";"=""3435075""";"=""25431834000182""";"MG";"UBERABA";"";""
"HOSPITAIS";"HOSPITAL SAO MATEUS";"=""2376091""";"=""03153806000108""";"MS";"CAARAPO";"";""
"HOSPITAIS";"HOSPITAL SAO MATEUS";"=""6730914""";"=""10793027000132""";"DF";"BRASILIA";"";""
"HOSPITAIS";"HOSPITAL SAO MIGUEL";"=""2120410""";"=""21528112000190""";"MG";"JEQUITINHONHA";"";""
"HOSPITAIS";"HOSPITAL SAO PATRICIO";"=""2337495""";"=""01380237000108""";"GO";"CERES";"";""
"HOSPITAIS";"HOSPITAL SAO PAULO";"=""2727005""";"=""01775217000136""";"PI";"TERESINA";"";""
"HOSPITAIS";"HOSPITAL SAO PAULO";"=""3625087""";"=""45272366001553""";"SP";"ARARAQUARA";"";""
"HOSPITAIS";"HOSPITAL SAO PEDRO";"=""2257645""";"=""90052804000127""";"RS";"GARIBALDI";"";""
"HOSPITAIS";"HOSPITAL SAO ROQUE DE SEARA";"=""2304155""";"=""83506030000606""";"SC";"SEARA";"";""
"HOSPITAIS";"HOSPITAL SAO SALVADOR";"=""2122677""";"=""16607509000137""";"MG";"ALEM PARAIBA";"";""
"HOSPITAIS";"HOSPITAL SAO SEBASTIAO";"=""2099454""";"=""25945403000134""";"MG";"VICOSA";"";""
"HOSPITAIS";"HOSPITAL SAO V PAULO AFONSO CLAUDIO";"=""2402874""";"=""27002674000181""";"ES";"AFONSO CLAUDIO";"";""
"HOSPITAIS";"HOSPITAL SAO VICENTE";"=""2080923""";"=""59901454000186""";"SP";"SAO JOSE DO RIO PARDO";"";""
"HOSPITAIS";"HOSPITAL SAO VICENTE";"=""3075516""";"=""81190449000242""";"PR";"CURITIBA";"";""
"HOSPITAIS";"HOSPITAL SAO VICENTE DE PAULO";"=""2379333""";"=""85131993000193""";"SC";"MAFRA";"";""
"HOSPITAIS";"HOSPITAL SAO VICENTE DE PAULO";"=""2246988""";"=""92021062000106""";"RS";"PASSO FUNDO";"";""
"HOSPITAIS";"HOSPITAL SAO VICENTE DE PAULO DE ABAETE";"=""2126796""";"=""16505851000126""";"MG";"ABAETE";"";""
"HOSPITAIS";"HOSPITAL SAO VICENTE DE PAULO DE UBA";"=""2760703""";"=""25335670000190""";"MG";"UBA";"";""
"HOSPITAIS";"HOSPITAL SAPIRANGA";"=""2232154""";"=""97279350000170""";"RS";"SAPIRANGA";"";""
"HOSPITAIS";"HOSPITAL SOBRASA";"=""2301296""";"=""13761374000171""";"BA";"TEIXEIRA DE FREITAS";"";""
"HOSPITAIS";"HOSPITAL UNICLINIC";"=""3047091""";"=""05867015000175""";"CE";"FORTALEZA";"";""
"HOSPITAIS";"HOSPITAL UNIMED";"=""3213943""";"=""88258884001444""";"RS";"NOVO HAMBURGO";"";""
"HOSPITAIS";"HOSPITAL UNIMED";"=""3506959""";"=""87647756000296""";"RS";"IJUI";"";""
"HOSPITAIS";"HOSPITAL UNIMED";"=""5108969""";"=""40294225000201""";"RJ";"CAMPOS DOS GOYTACAZES";"";""
"HOSPITAIS";"HOSPITAL UNIMED BEBEDOURO";"=""3137163""";"=""27578434002769""";"SP";"BEBEDOURO";"";""
"HOSPITAIS";"HOSPITAL UNIMED DE CAPIVARI";"=""3334678""";"=""59499251000296""";"SP";"CAPIVARI";"";""
"HOSPITAIS";"HOSPITAL UNIMED ITAPETININGA";"=""3987957""";"=""57149775000574""";"SP";"ITAPETININGA";"";""
"HOSPITAIS";"HOSPITAL UNIMED LINHARES";"=""3070328""";"=""35988963000200""";"ES";"LINHARES";"";""
"HOSPITAIS";"HOSPITAL UNIMED RECIFE I";"=""5540739""";"=""11214624000470""";"PE";"RECIFE";"";""
"HOSPITAIS";"HOSPITAL UNIMED RECIFE III";"=""6962831""";"=""11214624001957""";"PE";"RECIFE";"";""
"HOSPITAIS";"HOSPITAL UNIMED VALE DO CAI";"=""2227959""";"=""87306361000653""";"RS";"MONTENEGRO";"";""
"HOSPITAIS";"HOSPITAL UNIQUE";"=""6650368""";"=""08335217000164""";"GO";"GOIANIA";"";""
"HOSPITAIS";"HOSPITAL UNIVERSITARIO SANTA TEREZINHA";"=""2560771""";"=""84592369000988""";"SC";"JOACABA";"";""
"HOSPITAIS";"HOSPITAL UNIVERSITARIO SAO FRANCISCO NA PROVIDENCIA DE DEUS";"=""2704900""";"=""53221255005100""";"SP";"BRAGANCA PAULISTA";"";""
"HOSPITAIS";"HOSPITAL UNIVERSITARIO UNIVALI";"=""2744937""";"=""84307974000293""";"SC";"ITAJAI";"";""
"HOSPITAIS";"HOSPITAL UROLOGICO PUIGEVERTE";"=""2339668""";"=""01590900000107""";"GO";"GOIANIA";"";""
"HOSPITAIS";"HOSPITAL VERA CRUZ";"=""2078376""";"=""46009718000140""";"SP";"CAMPINAS";"";""
"HOSPITAIS";"HOSPITAL VICENTINO";"=""2686759""";"=""60975737003096""";"PR";"PONTA GROSSA";"";""
"HOSPITAIS";"HOSPITAL VIDA";"=""2006960""";"=""02476391000140""";"AL";"MACEIO";"";""
"HOSPITAIS";"HOSPITAL VIRVI RAMOS";"=""2223562""";"=""88665914000112""";"RS";"CAXIAS DO SUL";"";""
"HOSPITAIS";"HOSPITAL VITALLIS BARREIRO";"=""5509483""";"=""07586599000136""";"MG";"BELO HORIZONTE";"";""
"HOSPITAIS";"HOSPITAL WILSON ROSADO";"=""2371707""";"=""35650324000150""";"RN";"MOSSORO";"";""
"HOSPITAIS";"HOSPITAL XV";"=""3005585""";"=""76530518000107""";"PR";"CURITIBA";"";""
"HOSPITAIS";"HOSPITAL YUTAKA TAKEDA";"=""2673886""";"=""24232886001996""";"PA";"PARAUAPEBAS";"";""
"HOSPITAIS";"HOSPITAL 05 DE OUTUBRO";"=""5874645""";"=""24232886007099""";"PA";"CANAA DOS CARAJAS";"";""
"HOSPITAIS";"HOSPITAL 10 DE JULHO";"=""7755333""";"=""47565155000996""";"SP";"PINDAMONHANGABA";"";""
"HOSPITAIS";"HTO HOSPITAL GERAL";"=""126029381""";"=""33875865000150""";"BA";"FEIRA DE SANTANA";"";"-MAIOR QUE 7-"
"HOSPITAIS";"IMPERIAL HOSPITAL DE CARIDADE";"=""0019402""";"=""83884999000106""";"SC";"FLORIANOPOLIS";"";""
"HOSPITAIS";"INCOR SANTA MONICA";"=""2531208""";"=""23430770000170""";"MA";"IMPERATRIZ";"";""
"HOSPITAIS";"INFANTIL SANTOS COOPERATIVA MEDICO HOSPITALAR";"=""3221792""";"=""47774393000154""";"SP";"SANTOS";"";""
"HOSPITAIS";"INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO";"=""2088495""";"=""53725560000170""";"SP";"SAO PAULO";"";""
"HOSPITAIS";"INSTITUTO DE CARDIOLOGIA DO DISTRITO FEDERAL";"=""3276678""";"=""92898550000600""";"DF";"BRASILIA";"";""
